District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),PF Indigenous|Under 5 Years|Female,PF Indigenous.1|Under 5 Years|Male,PF Indigenous.2|5 Years & Above|Female,PF Indigenous.3|5 Years & Above|Male,PF Indigenous.4|Total|Female,PF Indigenous.5|Total|Male,PF Imported|Under 5 Years|Female,PF Imported.1|Under 5 Years|Male,PF Imported.2|5 Years & Above|Female,PF Imported.3|5 Years & Above|Male,PF Imported.4|Total|Female,PF Imported.5|Total|Male,PM Indigenous|Under 5 Years|Female,PM Indigenous.1|Under 5 Years|Male,PM Indigenous.2|5 Years & Above|Female,PM Indigenous.3|5 Years & Above|Male,PM Indigenous.4|Total|Female,PM Indigenous.5|Total|Male,PM Imported|Under 5 Years|Female,PM Imported.1|Under 5 Years|Male,PM Imported.2|5 Years & Above|Female,PM Imported.3|5 Years & Above|Male,PM Imported.4|Total|Female,PM Imported.5|Total|Male
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,3,0,1,3,4,3,0,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,2,1,10,26,12,27,1,0,18,19,19,19,0,0,2,3,2,3,0,0,2,2,2,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,0,1,2,8,2,9,1,0,1,1,2,1,1,0,0,2,1,2,0,0,0,1,0,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,0,1,1,2,1,3,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,2
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,0,0,0,5,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,0,0,1,0,1,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bara,Narayani,Terai,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Parsa,Narayani,Terai,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,0,0,1,2,1,2,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,2,0,2
Manang,Gandaki,Mountain,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,0,0,1,1,1,1,0,0,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,0,0,0,1,0,1,1,0,1,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,0,0,2,2,2,2,0,0,0,6,0,6,31,45,64,125,95,170,0,0,0,0,0,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,3,0,3,0,0,0,1,0,1
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,0,0,1,4,1,4,0,0,1,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,0,0,0,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,0,0,9,7,9,7,0,0,8,39,8,39,0,0,2,2,2,2,0,0,2,8,2,8
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,0,0,9,15,9,15,0,0,2,10,2,10,0,0,0,0,0,0,0,0,0,1,0,1
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,0,0,5,4,5,4,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,1,0,1
Morang,Kosi,Terai,Eastern,2069/70,2012/13,0,0,4,3,4,3,0,0,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,0,1,7,6,7,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,0,0,6,3,6,3,0,0,0,2,0,2,0,0,1,1,1,1,0,0,0,0,0,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,0,0,1,2,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,13,15,13,15
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,3,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,0,0,2,4,2,4,0,0,1,2,1,2,0,0,0,1,0,1,0,0,2,8,2,8
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramechhap,Janakpur,Hill,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolkha,Janakpur,Mountain,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindhupalchowk,Bagmati,Mountain,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavre,Bagmati,Hill,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhaktapur ,Bagmati,Hill,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasuwa,Bagmati,Mountain,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhading,Bagmati,Hill,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Makawanpur,Narayani,Hill,Central,2069/70,2012/13,0,1,5,1,5,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Rautahat,Narayani,Terai,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,5,0,0,7,8,7,8
Bara,Narayani,Terai,Central,2069/70,2012/13,1,0,4,5,5,5,0,0,2,4,2,4,1,0,1,0,2,0,0,0,0,0,0,0
Parsa,Narayani,Terai,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitwan,Narayani,Terai,Central,2069/70,2012/13,0,0,0,0,0,0,0,0,1,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0
Gorkha,Gandaki,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lamjung,Gandaki,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanahu,Gandaki,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syangja,Gandaki,Hill,Western,2069/70,2012/13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaski,Gandaki,Hill,Western,2069/70,2012/13,0,0,1,3,1,3,0,0,2,4,2,4,0,0,2,3,2,3,0,0,1,1,1,1
Manang,Gandaki,Mountain,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustang,Dhawalagiri,Mountain,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myagdi,Dhawalagiri,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parbat,Dhawalagiri,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulmi,Lumbini,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,2,0,2
Palpa,Lumbini,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4
Nawalparasi,Lumbini,Terai,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Rupandehi,Lumbini,Terai,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapilvastu,Lumbini,Terai,Western,2069/70,2012/13,0,1,0,1,0,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyuthan,Rapti,Hill,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolpa,Rapti,Hill,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rukum,Rapti,Hill,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salyan,Rapti,Hill,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dang,Rapti,Terai,Mid-Western,2069/70,2012/13,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Banke,Bheri,Terai,Mid-Western,2069/70,2012/13,0,0,0,2,0,2,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,1,0,1
Bardiya,Bheri,Terai,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Surkhet,Bheri,Hill,Mid-Western,2069/70,2012/13,0,0,1,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Dailekh,Bheri,Hill,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajarkot,Bheri,Hill,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolpa,Karnali,Mountain,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumla,Karnali,Mountain,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalikot,Karnali,Mountain,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mugu,Karnali,Mountain,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humla,Karnali,Mountain,Mid-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bajura,Seti,Mountain,Far-Western,2069/70,2012/13,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bajhang,Seti,Mountain,Far-Western,2069/70,2012/13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achham,Seti,Hill,Far-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Doti,Seti,Hill,Far-Western,2069/70,2012/13,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kailali,Seti,Terai,Far-Western,2069/70,2012/13,0,1,2,4,2,5,0,0,3,22,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Kanchanpur,Mahakali,Terai,Far-Western,2069/70,2012/13,0,0,2,1,2,1,0,1,4,12,4,13,0,0,0,1,0,1,0,0,0,0,0,0
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,3
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,1,0,0,0,0,0,0
Darchula,Mahakali,Mountain,Far-Western,2069/70,2012/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
